ticker,underlying,expiration,dte,strike,type,delta,gamma,theta,vega,iv,open_interest,bid,ask,mid,bid_size,ask_size,last_price,last_size,volume,open,high,low,close,vwap,break_even,underlying_price
O:COIN251114C00160000,COIN,2025-11-14,25,160.0,C,,,,,,18,146.45,151.5,148.975,122,114,156.5,18,36,156.44,158.9,156.44,156.5,157.4972,308.975,319.55
O:COIN251114C00165000,COIN,2025-11-14,25,165.0,C,,,,,,3,141.45,146.65,144.05,124,123,155.94,2,2,155.94,155.94,155.94,155.94,155.94,309.05,319.55
O:COIN251114C00170000,COIN,2025-11-14,25,170.0,C,,,,,,10,136.45,141.3,138.875,153,130,138.55,1,2,141.32,141.32,138.55,138.55,139.935,308.875,319.55
O:COIN251114C00175000,COIN,2025-11-14,25,175.0,C,,,,,,1,131.45,137.2,134.325,120,122,178.4,1,2,177.9,178.4,177.9,178.4,178.15,309.325,319.55
O:COIN251114C00180000,COIN,2025-11-14,25,180.0,C,,,,,,18,126.5,132.35,129.425,125,126,107.74,10,10,107.74,107.74,107.74,107.74,107.74,309.425,319.55
O:COIN251114C00185000,COIN,2025-11-14,25,185.0,C,,,,,,0,121.5,126.55,124.025,113,103,,,,,,,,,309.025,319.55
O:COIN251114C00190000,COIN,2025-11-14,25,190.0,C,,,,,,2,116.5,121.45,118.975,108,98,146.93,2,2,146.93,146.93,146.93,146.93,146.93,308.975,319.55
O:COIN251114C00195000,COIN,2025-11-14,25,195.0,C,,,,,,1,111.5,117,114.25,111,110,105.3,1,1,105.3,105.3,105.3,105.3,105.3,309.25,319.55
O:COIN251114C00200000,COIN,2025-11-14,25,200.0,C,,,,,,0,106.55,113.1,109.82499999999999,119,124,,,,,,,,,309.825,319.55
O:COIN251114C00205000,COIN,2025-11-14,25,205.0,C,,,,,,1,101.55,107.5,104.525,111,116,169,1,1,169,169,169,169,169,309.525,319.55
O:COIN251114C00210000,COIN,2025-11-14,25,210.0,C,,,,,,4,96.6,102.5,99.55,138,145,94,1,1,94,94,94,94,94,309.55,319.55
O:COIN251114C00215000,COIN,2025-11-14,25,215.0,C,,,,,,6,91.6,96.8,94.19999999999999,96,82,134,1,1,134,134,134,134,134,309.2,319.55
O:COIN251114C00220000,COIN,2025-11-14,25,220.0,C,,,,,,10,86.65,93.65,90.15,105,168,88.65,1,20,69.47,88.65,69.47,88.65,71.925,310.15,319.55
O:COIN251114C00222500,COIN,2025-11-14,25,222.5,C,,,,,,0,84.15,90.1,87.125,88,91,,,,,,,,,309.625,319.55
O:COIN251114C00225000,COIN,2025-11-14,25,225.0,C,,,,,,3,81.65,86.75,84.2,80,71,162.09,3,6,161.71,162.09,161.71,162.09,161.905,309.2,319.55
O:COIN251114C00227500,COIN,2025-11-14,25,227.5,C,,,,,,0,79.2,85.25,82.225,78,81,,,,,,,,,309.725,319.55
O:COIN251114C00230000,COIN,2025-11-14,25,230.0,C,,,,,,1,76.7,82.8,79.75,79,84,124.25,1,2,124.3,124.3,124.25,124.25,124.275,309.75,319.55
O:COIN251114C00232500,COIN,2025-11-14,25,232.5,C,,,,,,1,74.2,79.3,76.75,73,58,86.3,1,1,86.3,86.3,86.3,86.3,86.3,309.25,319.55
O:COIN251114C00235000,COIN,2025-11-14,25,235.0,C,,,,,,4,71.75,77.2,74.475,70,61,58.22,2,3,58.21,58.22,58.21,58.22,58.2167,309.475,319.55
O:COIN251114C00237500,COIN,2025-11-14,25,237.5,C,,,,,,0,69.25,74.6,71.925,71,63,,,,,,,,,309.425,319.55
O:COIN251114C00240000,COIN,2025-11-14,25,240.0,C,,,,,,11,66.8,73,69.9,85,106,68.25,3,8,50.5,68.25,50.5,68.25,57.1563,309.9,319.55
O:COIN251114C00242500,COIN,2025-11-14,25,242.5,C,,,,,,1,64.35,71,67.675,93,107,59.5,1,1,59.5,59.5,59.5,59.5,59.5,310.175,319.55
O:COIN251114C00245000,COIN,2025-11-14,25,245.0,C,,,,,,9,61.9,66.8,64.35,67,56,55.89,1,1,55.89,55.89,55.89,55.89,55.89,309.35,319.55
O:COIN251114C00247500,COIN,2025-11-14,25,247.5,C,,,,,,0,59.45,65.05,62.25,65,61,,,,,,,,,309.75,319.55
O:COIN251114C00250000,COIN,2025-11-14,25,250.0,C,,,,,,17,57,62.45,59.725,67,58,55.35,1,1,55.35,55.35,55.35,55.35,55.35,309.725,319.55
O:COIN251114C00252500,COIN,2025-11-14,25,252.5,C,,,,,,0,54.55,60.35,57.45,61,58,57.93,1,14,55.51,57.93,55.51,57.93,56.8743,309.95,319.55
O:COIN251114C00255000,COIN,2025-11-14,25,255.0,C,,,,,,2,53.25,57.3,55.275,49,51,55.44,2,2,55.44,55.44,55.44,55.44,55.44,310.275,319.55
O:COIN251114C00257500,COIN,2025-11-14,25,257.5,C,,,,,,0,49.7,55.3,52.5,62,56,,,,,,,,,310,319.55
O:COIN251114C00260000,COIN,2025-11-14,25,260.0,C,,,,,,13,47.3,52.9,50.099999999999994,62,39,49.75,1,13,35.97,49.75,35.96,49.75,42.3077,310.1,319.55
O:COIN251114C00262500,COIN,2025-11-14,25,262.5,C,,,,,,0,44.9,51.1,48.0,65,64,,,,,,,,,310.5,319.55
O:COIN251114C00265000,COIN,2025-11-14,25,265.0,C,,,,,,1,42.5,47.65,45.075,58,45,25.51,1,11,27.87,27.87,25.51,25.51,27.6555,310.075,319.55
O:COIN251114C00267500,COIN,2025-11-14,25,267.5,C,,,,,,0,40.9,45.5,43.2,53,46,,,,,,,,,310.7,319.55
O:COIN251114C00270000,COIN,2025-11-14,25,270.0,C,,,,,,93,38.95,42.75,40.85,45,37,29,3,22,23.37,29,22.7,29,24.4677,310.85,319.55
O:COIN251114C00272500,COIN,2025-11-14,25,272.5,C,,,,,,1,36.85,40.9,38.875,205,228,26.1,2,4,21.25,26.1,21.25,26.1,23.675,311.375,319.55
O:COIN251114C00275000,COIN,2025-11-14,25,275.0,C,,,,,,98,35.15,38.15,36.65,167,141,31.5,2,22,21.85,31.5,17.5,31.5,21.6664,311.65,319.55
O:COIN251114C00277500,COIN,2025-11-14,25,277.5,C,,,,,,7,32.65,35.9,34.275,201,170,34.35,1,11,18.35,34.35,17.7,34.35,22.0318,311.775,319.55
O:COIN251114C00280000,COIN,2025-11-14,25,280.0,C,,,,,,42,31.65,33.75,32.7,67,199,31.99,1,212,16,33,14.55,31.99,19.4175,312.7,319.55
O:COIN251114C00282500,COIN,2025-11-14,25,282.5,C,,,,,,4,28.8,31.55,30.175,133,248,29.4,1,9,13.25,29.4,13.25,29.4,18.9978,312.675,319.55
O:COIN251114C00285000,COIN,2025-11-14,25,285.0,C,,,,,,13,26.4,29.4,27.9,192,212,27.2,1,172,13,27.2,11.7,27.2,15.6752,312.9,319.55
O:COIN251114C00287500,COIN,2025-11-14,25,287.5,C,,,,,,1,24.9,26.7,25.799999999999997,176,226,25.13,1,163,12.5,25.13,11,25.13,14.7727,313.3,319.55
O:COIN251114C00290000,COIN,2025-11-14,25,290.0,C,,,,,,37,23.45,24.75,24.1,51,208,24.59,1,639,11.95,24.64,9.55,24.59,14.8849,314.1,319.55
