ticker,underlying,expiration,dte,strike,type,delta,gamma,theta,vega,iv,open_interest,bid,ask,mid,bid_size,ask_size,last_price,last_size,volume,open,high,low,close,vwap,break_even,underlying_price
O:AAPL251114C00135000,AAPL,2025-11-14,10,135.0,C,,,,,,0,131.55,134.95,133.25,101,100,,,,,,,,,268.25,269.6
O:AAPL251114C00140000,AAPL,2025-11-14,10,140.0,C,,,,,,1,127.05,130.1,128.575,101,102,130.5,1,1,130.5,130.5,130.5,130.5,130.5,268.575,269.6
O:AAPL251114C00145000,AAPL,2025-11-14,10,145.0,C,,,,,,3,121.85,124.8,123.32499999999999,100,100,125.5,1,2,125.5,125.5,125.5,125.5,125.5,268.325,269.6
O:AAPL251114C00150000,AAPL,2025-11-14,10,150.0,C,,,,,,1,116.95,119.95,118.45,100,100,119.41,1,2,119.52,119.52,119.41,119.41,119.465,268.45,269.6
O:AAPL251114C00155000,AAPL,2025-11-14,10,155.0,C,,,,,,1,111.85,115,113.425,106,108,116.77,1,1,116.77,116.77,116.77,116.77,116.77,268.425,269.6
O:AAPL251114C00160000,AAPL,2025-11-14,10,160.0,C,,,,,,1,106.85,110.1,108.475,17,103,115.65,1,1,115.65,115.65,115.65,115.65,115.65,268.475,269.6
O:AAPL251114C00165000,AAPL,2025-11-14,10,165.0,C,,,,,,4,101.85,104.95,103.4,100,102,105.25,4,4,105.25,105.25,105.25,105.25,105.25,268.4,269.6
O:AAPL251114C00170000,AAPL,2025-11-14,10,170.0,C,,,,,,6,96.85,99.85,98.35,101,101,98.91,6,6,98.91,98.91,98.91,98.91,98.91,268.35,269.6
O:AAPL251114C00175000,AAPL,2025-11-14,10,175.0,C,,,,,,5,91.55,94.95,93.25,105,101,96.3,1,1,96.3,96.3,96.3,96.3,96.3,268.25,269.6
O:AAPL251114C00180000,AAPL,2025-11-14,10,180.0,C,,,,,,1,87.05,90,88.525,105,108,87.73,20,22,89.45,89.45,87.73,87.73,87.8864,268.525,269.6
O:AAPL251114C00185000,AAPL,2025-11-14,10,185.0,C,,,,,,1,81.95,84.5,83.225,105,112,79.25,1,4,78.97,79.25,78.97,79.25,79.11,268.225,269.6
O:AAPL251114C00190000,AAPL,2025-11-14,10,190.0,C,,,,,,6,76.85,79.5,78.175,102,100,80.12,1,4,79.31,80.37,79.31,80.12,80.0425,268.175,269.6
